Date,Model name,Data scope,RAG,TP,FP,TN,FN,Unclear result in real dataset,Unclear result in artificial dataset,Precision,Recall,Accuracy,F1 Score,Execution time,GPU name
02.05.2025 10:41,TinyLlama-v1.1,International,FALSE,81,89,0,0,19,11,0.4765,1,0.4765,0.6454,69.71,NVIDIA GH200 480GB
02.05.2025 10:42,TinyLlama-v1.1,International,TRUE,78,85,0,2,20,15,0.4785,0.975,0.4727,0.642,71.68,NVIDIA GH200 480GB
02.05.2025 10:44,TinyLlama-v1.1,Switzerland,FALSE,77,84,0,0,23,16,0.4783,1,0.4783,0.6471,70.08,NVIDIA GH200 480GB
02.05.2025 10:45,TinyLlama-v1.1,Switzerland,TRUE,69,80,0,0,31,20,0.4631,1,0.4631,0.633,73.6,NVIDIA GH200 480GB
02.05.2025 10:46,TinyLlama-v1.1,Switzerland Nebenwerte,FALSE,83,78,0,1,16,22,0.5155,0.9881,0.5123,0.6776,70.14,NVIDIA GH200 480GB
02.05.2025 10:47,TinyLlama-v1.1,Switzerland Nebenwerte,TRUE,73,79,0,1,26,21,0.4803,0.9865,0.4771,0.646,70.93,NVIDIA GH200 480GB
06.05.2025 08:38:34,Llama-3.1-8B-Instruct,International,TRUE,69,0,100,31,0,0,1.0000,0.6900,0.8450,0.8166,94.90,NVIDIA GH200 480GB
06.05.2025 08:41:15,Llama-3.1-8B-Instruct,International,FALSE,1,0,100,99,0,0,1.0000,0.0100,0.5050,0.0198,111.43,NVIDIA GH200 480GB
02.05.2025 11:18,Llama-3.1-8B-Instruct,Switzerland,FALSE,0,0,100,100,0,0,0,0,0.5,0,112.88,NVIDIA GH200 480GB
02.05.2025 11:20,Llama-3.1-8B-Instruct,Switzerland,TRUE,68,0,100,32,0,0,1,0.68,0.84,0.8095,95.09,NVIDIA GH200 480GB
02.05.2025 11:22,Llama-3.1-8B-Instruct,Switzerland Nebenwerte,FALSE,0,0,100,100,0,0,0,0,0.5,0,116.74,NVIDIA GH200 480GB
02.05.2025 11:24,Llama-3.1-8B-Instruct,Switzerland Nebenwerte,TRUE,15,0,100,85,0,0,1,0.15,0.575,0.2609,95.6,NVIDIA GH200 480GB
02.05.2025 11:29,gemma-3-4b-it,International,FALSE,60,29,71,40,0,0,0.6742,0.6,0.655,0.6349,145.58,NVIDIA GH200 480GB
02.05.2025 11:31,gemma-3-4b-it,International,TRUE,89,25,75,11,0,0,0.7807,0.89,0.82,0.8318,85.44,NVIDIA GH200 480GB
02.05.2025 11:33,gemma-3-4b-it,Switzerland,FALSE,62,39,61,38,0,0,0.6139,0.62,0.615,0.6169,132.86,NVIDIA GH200 480GB
02.05.2025 11:35,gemma-3-4b-it,Switzerland,TRUE,90,33,67,10,0,0,0.7317,0.9,0.785,0.8072,84.68,NVIDIA GH200 480GB
02.05.2025 11:37,gemma-3-4b-it,Switzerland Nebenwerte,FALSE,52,45,55,48,0,0,0.5361,0.52,0.535,0.5279,132.16,NVIDIA GH200 480GB
02.05.2025 11:38,gemma-3-4b-it,Switzerland Nebenwerte,TRUE,69,32,68,31,0,0,0.6832,0.69,0.685,0.6866,77.96,NVIDIA GH200 480GB
02.05.2025 11:41,Phi-4-mini-instruct,International,FALSE,15,10,90,85,0,0,0.6,0.15,0.525,0.24,113.37,NVIDIA GH200 480GB
02.05.2025 11:42,Phi-4-mini-instruct,International,TRUE,79,11,89,21,0,0,0.8778,0.79,0.84,0.8316,52.16,NVIDIA GH200 480GB
02.05.2025 11:44,Phi-4-mini-instruct,Switzerland,FALSE,6,2,98,94,0,0,0.75,0.06,0.52,0.1111,113.4,NVIDIA GH200 480GB
02.05.2025 11:45,Phi-4-mini-instruct,Switzerland,TRUE,71,3,97,29,0,0,0.9595,0.71,0.84,0.8161,56.63,NVIDIA GH200 480GB
02.05.2025 11:47,Phi-4-mini-instruct,Switzerland Nebenwerte,FALSE,2,2,98,98,0,0,0.5,0.02,0.5,0.0385,113.43,NVIDIA GH200 480GB
02.05.2025 11:48,Phi-4-mini-instruct,Switzerland Nebenwerte,TRUE,31,2,98,69,0,0,0.9394,0.31,0.645,0.4662,54.6,NVIDIA GH200 480GB
02.05.2025 11:51,zephyr-7b-beta,International,FALSE,23,0,100,77,0,0,1,0.23,0.615,0.374,110.11,NVIDIA GH200 480GB
02.05.2025 11:53,zephyr-7b-beta,International,TRUE,67,0,100,33,0,0,1,0.67,0.835,0.8024,112.33,NVIDIA GH200 480GB
02.05.2025 11:55,zephyr-7b-beta,Switzerland,FALSE,4,1,99,96,0,0,0.8,0.04,0.515,0.0762,110.71,NVIDIA GH200 480GB
02.05.2025 11:57,zephyr-7b-beta,Switzerland,TRUE,68,2,98,32,0,0,0.9714,0.68,0.83,0.8,113.61,NVIDIA GH200 480GB
02.05.2025 11:59,zephyr-7b-beta,Switzerland Nebenwerte,FALSE,0,0,100,100,0,0,0,0,0.5,0,112.22,NVIDIA GH200 480GB
02.05.2025 12:01,zephyr-7b-beta,Switzerland Nebenwerte,TRUE,15,1,99,84,1,0,0.9375,0.1515,0.5729,0.2609,110.42,NVIDIA GH200 480GB
02.05.2025 12:04,Mistral-7B-Instruct-v0.3,International,FALSE,63,30,70,37,0,0,0.6774,0.63,0.665,0.6528,62.36,NVIDIA GH200 480GB
02.05.2025 12:04,Mistral-7B-Instruct-v0.3,International,TRUE,81,20,80,19,0,0,0.802,0.81,0.805,0.806,24.1,NVIDIA GH200 480GB
02.05.2025 12:06,Mistral-7B-Instruct-v0.3,Switzerland,FALSE,58,30,70,42,0,0,0.6591,0.58,0.64,0.617,63.02,NVIDIA GH200 480GB
02.05.2025 12:06,Mistral-7B-Instruct-v0.3,Switzerland,TRUE,88,24,76,12,0,0,0.7857,0.88,0.82,0.8302,30.03,NVIDIA GH200 480GB
02.05.2025 12:07,Mistral-7B-Instruct-v0.3,Switzerland Nebenwerte,FALSE,48,33,67,52,0,0,0.5926,0.48,0.575,0.5304,60.37,NVIDIA GH200 480GB
02.05.2025 12:08,Mistral-7B-Instruct-v0.3,Switzerland Nebenwerte,TRUE,40,22,78,60,0,0,0.6452,0.4,0.59,0.4938,32.18,NVIDIA GH200 480GB
02.05.2025 12:12,DeepSeek-R1-Distill-Qwen-14B,International,FALSE,4,0,100,96,0,0,1,0.04,0.52,0.0769,45.66,NVIDIA GH200 480GB
02.05.2025 12:13,DeepSeek-R1-Distill-Qwen-14B,International,TRUE,77,1,99,23,0,0,0.9872,0.77,0.88,0.8652,71.09,NVIDIA GH200 480GB
02.05.2025 12:14,DeepSeek-R1-Distill-Qwen-14B,Switzerland,FALSE,0,0,100,100,0,0,0,0,0.5,0,45.45,NVIDIA GH200 480GB
02.05.2025 12:15,DeepSeek-R1-Distill-Qwen-14B,Switzerland,TRUE,84,1,99,16,0,0,0.9882,0.84,0.915,0.9081,67.09,NVIDIA GH200 480GB
02.05.2025 12:16,DeepSeek-R1-Distill-Qwen-14B,Switzerland Nebenwerte,FALSE,0,0,100,100,0,0,0,0,0.5,0,46.34,NVIDIA GH200 480GB
02.05.2025 12:17,DeepSeek-R1-Distill-Qwen-14B,Switzerland Nebenwerte,TRUE,38,2,98,62,0,0,0.95,0.38,0.68,0.5429,61.57,NVIDIA GH200 480GB
07.05.2025 10:30,gpt-4.1,International,FALSE,58,0,100,42,0,0,1.0000,0.5800,0.7900,0.7342,168.09,Kein GPU gefunden: [Errno 2] No such file or directory: 'nvidia-smi'
