Date,Model name,Data scope,RAG,TP,FP,TN,FN,Unclear result in real dataset,Unclear result in artificial dataset,Precision,Recall,Accuracy,F1 Score,Execution time,GPU name
01.05.2025 18:35,TinyLlama/TinyLlama_v1.1,International,FALSE,81,89,0,0,19,11,0.4765,1,0.4765,0.6454,75.82,NVIDIA A100-SXM4-40GB
01.05.2025 18:37,TinyLlama/TinyLlama_v1.1,International,TRUE,78,85,0,2,20,15,0.4785,0.975,0.4727,0.642,84.94,NVIDIA A100-SXM4-40GB
01.05.2025 18:38,TinyLlama/TinyLlama_v1.1,Switzerland,FALSE,77,84,0,0,23,16,0.4783,1,0.4783,0.6471,76.23,NVIDIA A100-SXM4-40GB
01.05.2025 18:39,TinyLlama/TinyLlama_v1.1,Switzerland,TRUE,69,80,0,0,31,20,0.4631,1,0.4631,0.633,83.67,NVIDIA A100-SXM4-40GB
01.05.2025 18:41,TinyLlama/TinyLlama_v1.1,Switzerland Nebenwerte,FALSE,83,78,0,1,16,22,0.5155,0.9881,0.5123,0.6776,75.99,NVIDIA A100-SXM4-40GB
01.05.2025 18:42,TinyLlama/TinyLlama_v1.1,Switzerland Nebenwerte,TRUE,73,79,0,1,26,21,0.4803,0.9865,0.4771,0.646,80.95,NVIDIA A100-SXM4-40GB
01.05.2025 18:46,google/gemma-3-4b-it,International,FALSE,61,31,69,39,0,0,0.663,0.61,0.65,0.6354,142.79,NVIDIA A100-SXM4-40GB
01.05.2025 18:48,google/gemma-3-4b-it,International,TRUE,89,25,75,11,0,0,0.7807,0.89,0.82,0.8318,89.94,NVIDIA A100-SXM4-40GB
01.05.2025 18:50,google/gemma-3-4b-it,Switzerland,FALSE,64,40,60,36,0,0,0.6154,0.64,0.62,0.6275,133.65,NVIDIA A100-SXM4-40GB
01.05.2025 18:52,google/gemma-3-4b-it,Switzerland,TRUE,90,33,67,10,0,0,0.7317,0.9,0.785,0.8072,88.38,NVIDIA A100-SXM4-40GB
01.05.2025 18:54,google/gemma-3-4b-it,Switzerland Nebenwerte,FALSE,53,46,54,47,0,0,0.5354,0.53,0.535,0.5327,130.81,NVIDIA A100-SXM4-40GB
01.05.2025 18:55,google/gemma-3-4b-it,Switzerland Nebenwerte,TRUE,69,32,68,31,0,0,0.6832,0.69,0.685,0.6866,77.29,NVIDIA A100-SXM4-40GB
01.05.2025 19:00,microsoft/Phi-4-mini-instruct,International,FALSE,15,11,89,85,0,0,0.5769,0.15,0.52,0.2381,119.22,NVIDIA A100-SXM4-40GB
01.05.2025 19:01,microsoft/Phi-4-mini-instruct,International,TRUE,77,12,88,23,0,0,0.8652,0.77,0.825,0.8148,56.8,NVIDIA A100-SXM4-40GB
01.05.2025 19:03,microsoft/Phi-4-mini-instruct,Switzerland,FALSE,5,2,98,95,0,0,0.7143,0.05,0.515,0.0935,119.6,NVIDIA A100-SXM4-40GB
01.05.2025 19:04,microsoft/Phi-4-mini-instruct,Switzerland,TRUE,71,3,97,29,0,0,0.9595,0.71,0.84,0.8161,59,NVIDIA A100-SXM4-40GB
01.05.2025 19:06,microsoft/Phi-4-mini-instruct,Switzerland Nebenwerte,FALSE,1,1,99,99,0,0,0.5,0.01,0.5,0.0196,119.93,NVIDIA A100-SXM4-40GB
01.05.2025 19:07,microsoft/Phi-4-mini-instruct,Switzerland Nebenwerte,TRUE,31,1,99,69,0,0,0.9688,0.31,0.65,0.4697,58.23,NVIDIA A100-SXM4-40GB
